"vocabulary_code","data_point_value","data_point_value_synonym"
"C41.0","bones of skull and face and associated joints (c41.0)","bones of skull and face and associated joints"
"C41.0","bones of skull and face and associated joints (c41.0)","calvarium"
"C41.0","bones of skull and face and associated joints (c41.0)","cavernous"
"C41.0","bones of skull and face and associated joints (c41.0)","clival"
"C41.0","bones of skull and face and associated joints (c41.0)","condylar"
"C41.0","bones of skull and face and associated joints (c41.0)","cranial bone"
"C41.0","bones of skull and face and associated joints (c41.0)","ethmoid"
"C41.0","bones of skull and face and associated joints (c41.0)","ethmoid bone"
"C41.0","bones of skull and face and associated joints (c41.0)","ethmoid sinus"
"C41.0","bones of skull and face and associated joints (c41.0)","facial bone"
"C41.0","bones of skull and face and associated joints (c41.0)","frontal bone"
"C41.0","bones of skull and face and associated joints (c41.0)","hyoid bone"
"C41.0","bones of skull and face and associated joints (c41.0)","mastoid"
"C41.0","bones of skull and face and associated joints (c41.0)","maxilla"
"C41.0","bones of skull and face and associated joints (c41.0)","nasal bone"
"C41.0","bones of skull and face and associated joints (c41.0)","occipital bone"
"C41.0","bones of skull and face and associated joints (c41.0)","orbital"
"C41.0","bones of skull and face and associated joints (c41.0)","orbital bone"
"C41.0","bones of skull and face and associated joints (c41.0)","parietal bone"
"C41.0","bones of skull and face and associated joints (c41.0)","petrous apex"
"C41.0","bones of skull and face and associated joints (c41.0)","sellar"
"C41.0","bones of skull and face and associated joints (c41.0)","septum"
"C41.0","bones of skull and face and associated joints (c41.0)","skull"
"C41.0","bones of skull and face and associated joints (c41.0)","sphenoid"
"C41.0","bones of skull and face and associated joints (c41.0)","sphenoid bone"
"C41.0","bones of skull and face and associated joints (c41.0)","sphenoid wing"
"C41.0","bones of skull and face and associated joints (c41.0)","temporal bone"
"C41.0","bones of skull and face and associated joints (c41.0)","upper jaw bone"
"C41.0","bones of skull and face and associated joints (c41.0)","zygomatic bone"
"C41.1","mandible (c41.1)","jaw bone"
"C41.1","mandible (c41.1)","lower jaw bone"
"C41.1","mandible (c41.1)","mandible"
"C41.1","mandible (c41.1)","temporomandibular joint"
"C70.0","cerebral meninges (c70.0)","cerebral meninges"
"C70.0","cerebral meninges (c70.0)","cranial dura mater"
"C70.0","cerebral meninges (c70.0)","cranial meninges"
"C70.0","cerebral meninges (c70.0)","cranial pia mater"
"C70.0","cerebral meninges (c70.0)","falx"
"C70.0","cerebral meninges (c70.0)","falx cerebelli"
"C70.0","cerebral meninges (c70.0)","falx cerebri"
"C70.0","cerebral meninges (c70.0)","intracranial arachnoid"
"C70.0","cerebral meninges (c70.0)","intracranial meninges"
"C70.0","cerebral meninges (c70.0)","tentorium"
"C70.0","cerebral meninges (c70.0)","tentorium cerebelli"
"C70.1","spinal meninges (c70.1)","intradural"
"C70.1","spinal meninges (c70.1)","intradural extramedullary"
"C70.1","spinal meninges (c70.1)","intramedullary"
"C70.1","spinal meninges (c70.1)","spinal arachnoid"
"C70.1","spinal meninges (c70.1)","spinal dura mater"
"C70.1","spinal meninges (c70.1)","spinal meninges"
"C70.1","spinal meninges (c70.1)","spinal pia mater"
"C70.9","meninges (c70.9)","arachnoid"
"C70.9","meninges (c70.9)","convexity"
"C70.9","meninges (c70.9)","dura"
"C70.9","meninges (c70.9)","dura mater"
"C70.9","meninges (c70.9)","dural"
"C70.9","meninges (c70.9)","epidural"
"C70.9","meninges (c70.9)","meninges"
"C70.9","meninges (c70.9)","pia mater"
"C71.0","cerebrum (c71.0)","basal ganglia"
"C71.0","cerebrum (c71.0)","central white matter"
"C71.0","cerebrum (c71.0)","cerebral cortex"
"C71.0","cerebrum (c71.0)","cerebral hemisphere"
"C71.0","cerebrum (c71.0)","cerebral white matter"
"C71.0","cerebrum (c71.0)","cerebrum"
"C71.0","cerebrum (c71.0)","corpus striatum"
"C71.0","cerebrum (c71.0)","globus pallidus"
"C71.0","cerebrum (c71.0)","hypothalamus"
"C71.0","cerebrum (c71.0)","insula"
"C71.0","cerebrum (c71.0)","insular"
"C71.0","cerebrum (c71.0)","internal capsule"
"C71.0","cerebrum (c71.0)","island of reil"
"C71.0","cerebrum (c71.0)","operculum"
"C71.0","cerebrum (c71.0)","pallium"
"C71.0","cerebrum (c71.0)","perithalamic"
"C71.0","cerebrum (c71.0)","putamen"
"C71.0","cerebrum (c71.0)","rhinencephalon"
"C71.0","cerebrum (c71.0)","rolandic"
"C71.0","cerebrum (c71.0)","supratentorial brain"
"C71.0","cerebrum (c71.0)","thalamic"
"C71.0","cerebrum (c71.0)","thalamus"
"C71.1","frontal lobe (c71.1)","bifrontal"
"C71.1","frontal lobe (c71.1)","frontal"
"C71.1","frontal lobe (c71.1)","frontal lobe"
"C71.1","frontal lobe (c71.1)","frontal pole"
"C71.1","frontal lobe (c71.1)","frontoparietal"
"C71.2","temporal lobe (c71.2)","frontotemporal"
"C71.2","temporal lobe (c71.2)","hippocampus"
"C71.2","temporal lobe (c71.2)","temporal"
"C71.2","temporal lobe (c71.2)","temporal lobe"
"C71.2","temporal lobe (c71.2)","temporalis"
"C71.2","temporal lobe (c71.2)","temporo-parietal"
"C71.2","temporal lobe (c71.2)","temporoparietal"
"C71.2","temporal lobe (c71.2)","uncus"
"C71.3","parietal lobe (c71.3)","frontal-parietal"
"C71.3","parietal lobe (c71.3)","frontoparietal"
"C71.3","parietal lobe (c71.3)","parietal"
"C71.3","parietal lobe (c71.3)","parietal lobe"
"C71.3","parietal lobe (c71.3)","temporal-parietal"
"C71.3","parietal lobe (c71.3)","temporo-parietal"
"C71.3","parietal lobe (c71.3)","temporoparietal"
"C71.4","occipital lobe (c71.4)","occipital"
"C71.4","occipital lobe (c71.4)","occipital lobe"
"C71.4","occipital lobe (c71.4)","occipital pole"
"C71.4","occipital lobe (c71.4)","suboccipital"
"C71.5","ventricle (c71.5)","cerebral ventricle"
"C71.5","ventricle (c71.5)","choroid plexus"
"C71.5","ventricle (c71.5)","choroid plexus of lateral ventricle"
"C71.5","ventricle (c71.5)","choroid plexus of third ventricle"
"C71.5","ventricle (c71.5)","ependyma"
"C71.5","ventricle (c71.5)","intraventricular"
"C71.5","ventricle (c71.5)","lateral ventricle"
"C71.5","ventricle (c71.5)","third ventricle"
"C71.5","ventricle (c71.5)","ventricle"
"C71.5","ventricle (c71.5)","ventricular"
"C71.6","cerebellum (c71.6)","cerebellar"
"C71.6","cerebellum (c71.6)","cerebello-pontine"
"C71.6","cerebellum (c71.6)","cerebellopontine angle"
"C71.6","cerebellum (c71.6)","cerebellum"
"C71.6","cerebellum (c71.6)","cerebropontine"
"C71.6","cerebellum (c71.6)","cp angle"
"C71.6","cerebellum (c71.6)","cp angle tumor"
"C71.6","cerebellum (c71.6)","tentorial"
"C71.6","cerebellum (c71.6)","vermis of cerebellum"
"C71.7","brain stem (c71.7)","basis pedunculi"
"C71.7","brain stem (c71.7)","brain stem"
"C71.7","brain stem (c71.7)","brainstem"
"C71.7","brain stem (c71.7)","cerebral peduncle"
"C71.7","brain stem (c71.7)","choroid plexus of fourth ventricle"
"C71.7","brain stem (c71.7)","fourth ventricle"
"C71.7","brain stem (c71.7)","fourth ventricular"
"C71.7","brain stem (c71.7)","infratentorial brain"
"C71.7","brain stem (c71.7)","medulla oblongata"
"C71.7","brain stem (c71.7)","midbrain"
"C71.7","brain stem (c71.7)","olive"
"C71.7","brain stem (c71.7)","pon"
