cohort,target_variable,source_vocabulary_id,source_concept_name,source_concept_code,omop_domain_id,omop_vocabulary_id,omop_concept_name,omop_concept_code,omop_concept_id,sequence,instructions
brain cancer,site,ICDO3,Bones of skull and face and associated joints,C41.0,Spec Anatomic Site,ICDO3,Bones of skull and face and associated joints,C41.0,44498209,1,pre-coordinate with histology concept code and look up in Condition domain
brain cancer,site,ICDO3,Mandible,C41.1,Spec Anatomic Site,ICDO3,Mandible,C41.1,44498210,1,pre-coordinate with histology concept code and look up in Condition domain
brain cancer,site,ICDO3,Cerebral meninges,C70.0,Spec Anatomic Site,ICDO3,Cerebral meninges,C70.0,44497941,1,pre-coordinate with histology concept code and look up in Condition domain
brain cancer,site,ICDO3,Spinal meninges,C70.1,Spec Anatomic Site,ICDO3,Spinal meninges,C70.1,44497942,1,pre-coordinate with histology concept code and look up in Condition domain
brain cancer,site,ICDO3,"Meninges, NOS",C70.9,Spec Anatomic Site,ICDO3,"Meninges, NOS",C70.9,44497943,1,pre-coordinate with histology concept code and look up in Condition domain
brain cancer,site,ICDO3,Cerebrum,C71.0,Spec Anatomic Site,ICDO3,Cerebrum,C71.0,44497945,1,pre-coordinate with histology concept code and look up in Condition domain
brain cancer,site,ICDO3,Frontal lobe,C71.1,Spec Anatomic Site,ICDO3,Frontal lobe,C71.1,44497946,1,pre-coordinate with histology concept code and look up in Condition domain
brain cancer,site,ICDO3,Temporal lobe,C71.2,Spec Anatomic Site,ICDO3,Temporal lobe,C71.2,44497947,1,pre-coordinate with histology concept code and look up in Condition domain
brain cancer,site,ICDO3,Parietal lobe,C71.3,Spec Anatomic Site,ICDO3,Parietal lobe,C71.3,44497948,1,pre-coordinate with histology concept code and look up in Condition domain
brain cancer,site,ICDO3,Occipital lobe,C71.4,Spec Anatomic Site,ICDO3,Occipital lobe,C71.4,44497949,1,pre-coordinate with histology concept code and look up in Condition domain
brain cancer,site,ICDO3,"Ventricle, NOS",C71.5,Spec Anatomic Site,ICDO3,"Ventricle, NOS",C71.5,44497950,1,pre-coordinate with histology concept code and look up in Condition domain
brain cancer,site,ICDO3,"Cerebellum, NOS",C71.6,Spec Anatomic Site,ICDO3,"Cerebellum, NOS",C71.6,44497951,1,pre-coordinate with histology concept code and look up in Condition domain
brain cancer,site,ICDO3,Brain stem,C71.7,Spec Anatomic Site,ICDO3,Brain stem,C71.7,44497952,1,pre-coordinate with histology concept code and look up in Condition domain
brain cancer,site,ICDO3,Overlapping lesion of brain,C71.8,Spec Anatomic Site,ICDO3,Overlapping lesion of brain,C71.8,44497953,1,pre-coordinate with histology concept code and look up in Condition domain
brain cancer,site,ICDO3,"Brain, NOS",C71.9,Spec Anatomic Site,ICDO3,"Brain, NOS",C71.9,44497954,1,pre-coordinate with histology concept code and look up in Condition domain
